id,nombre,descripcion,unidad,stock_actual,stock_minimo,tipo_equipo_id,created_at,punto_reorden
024468df-90db-450d-ad50-5621bc4c389a,Aceite de inmersión para microscopio,"Para objetivos 100x, compatible con ZEISS y CARL ZEISS",ml,30,10,MICR,2026-08-17 23:31:20.968053,0
097ad1cd-f617-4037-9d64-e65562201429,Sensor SpO2 adulto reutilizable,Compatible con monitores PHILIPS MP40,unidad,6,2,MOMU,2026-08-17 23:31:20.968053,0
13f5c2ab-4ca7-4560-bbd7-2983c365de88,Manguito NIBP adulto,Manguito de reemplazo para monitores PHILIPS,unidad,4,2,MOMU,2026-08-17 23:31:20.968053,0
16cfa27f-926c-4d37-9bf4-8511d97a5b73,Filtro bacteriano inspiratorio,Filtro para circuito paciente de MAAN y RESP,unidad,20,8,MAAN,2026-08-17 23:31:20.968053,0
5bc3cafc-2309-4ea2-b1c6-36bc68b8fe84,Cal sodada DRAGER,Absorbente de CO2 para MAAN DRAGER Fabius/Primus,kg,12,4,MAAN,2026-08-17 23:31:20.968053,0
6a9a906e-c17b-4e5c-bed8-433e59a04d4f,Alcohol isopropílico 70%,Para limpieza y desinfección de equipos,litro,10,3,,2026-08-17 23:31:20.968053,0
8500c628-16ef-4e24-9ea7-8679f0af0c72,Paletas adhesivas PHILIPS EFFICIA,Electrodos desechables para EFFICIA DFM100,unidad,8,4,DESF,2026-08-17 23:31:20.968053,0
877c90a1-ef75-46b6-acb9-738476955489,Gel conductor para ecógrafo,Gel de transmisión de ultrasonido uso general,litro,5,2,ECOG,2026-08-17 23:31:20.968053,0
999dbf3f-381e-440b-9e4e-60df08d54c72,Jeringa 50ml CARE FUSION ASENA CC,Jeringa compatible con bomba ASENA CC,unidad,30,10,BOMJ,2026-08-17 23:31:20.968053,0
d39c98ef-98b6-423e-b144-23546e4de8db,Puntas para micropipeta 1000µl,Puntas descartables para SOCOREX y RAININ,caja,8,3,MPIP,2026-08-17 23:31:20.968053,0
def4feb8-1d6a-4a7c-a8cc-cdb3c93fb5cc,Guantes de nitrilo talle M,Guantes descartables uso general del servicio,caja,15,5,,2026-08-17 23:31:20.968053,0
